Soil Depth,PH,Salnity,OC,N,P,K,Crop,Rainfall,Humidity,Min_Temp,Max_temp,Wind_Speed,Season,Yield
Low,7.7,0.67,0.51,148.02,30.83,295.68,Black Gram,589,78.4,20.4,37.1,21.2,Kharif,3
Low,7.4,0.4,0.51,75.26,9.45,698.88,Black Gram,589,78.4,20.4,37.1,21.2,Kharif,6
Low,7.6,0.5,0.55,72.76,12.43,430.08,Black Gram,589,78.4,20.4,37.1,21.2,Kharif,8
Low,7.5,0.37,0.35,110.39,14.42,389.76,Black Gram,589,78.4,20.4,37.1,21.2,Kharif,9
Low,7.8,0.64,0.38,125.44,15.91,431.42,Black Gram,589,78.4,20.4,37.1,21.2,Kharif,5
Low,7.3,0.43,0.64,150.53,12.93,553.73,Black Gram,589,78.4,20.4,37.1,21.2,Kharif,6
Low,7.8,0.46,0.51,250.88,15.91,514.21,Black Gram,589,78.4,20.4,37.1,21.2,Kharif,9
Low,7.5,0.47,0.35,158.05,18.4,621.73,Black Gram,520,75,22.1,39.9,21.6,Kharif,7
Low,7.6,0.39,0.59,184.4,22.38,391.91,Black Gram,520,75,22.1,39.9,21.6,Kharif,6
Low,7.4,0.59,0.43,171.85,30.33,794.3,Black Gram,520,75,22.1,39.9,21.6,Kharif,6
Low,7.4,0.54,0.48,186.91,22.87,728.85,Black Gram,520,75,22.1,39.9,21.6,Kharif,5
Low,7.5,0.73,0.59,194.43,14.42,431.69,Black Gram,520,75,22.1,39.9,21.6,Kharif,8
Low,7.5,0.66,0.3,240.84,26.85,874.94,Black Gram,520,75,22.1,39.9,21.6,Kharif,8
Low,7.2,0.5,0.55,168.09,32.32,799.28,Black Gram,520,75,22.1,39.9,21.6,Kharif,10
Low,7.5,0.38,0.48,105.37,27.85,393.52,Black Gram,520,75,22.1,39.9,21.6,Kharif,7
Low,7.6,0.4,0.35,193.18,17.9,471.74,Black Gram,520,75,22.1,39.9,21.6,Kharif,4
Low,7.3,0.67,0.56,57.7,18.9,835.03,Black Gram,520,75,22.1,39.9,21.6,Kharif,4
Low,7.4,0.54,0.54,55.19,29.34,353.2,Black Gram,520,75,22.1,39.9,21.6,Kharif,5
Low,7.5,0.64,0.3,55.19,19.39,686.78,Black Gram,520,75,22.1,39.9,21.6,Kharif,3
Low,7.5,0.72,1.18,92.83,15.42,594.05,Black Gram,520,75,22.1,39.9,21.6,Kharif,7
Low,7.6,0.37,0.51,80.28,32.32,702.37,Black Gram,520,75,22.1,39.9,21.6,Kharif,7
Low,7.7,0.69,0.28,205.72,32.82,849.41,Black Gram,520,75,22.1,39.9,21.6,Kharif,4
Low,7.8,0.53,0.87,205.72,34.31,796.99,Black Gram,520,75,22.1,39.9,21.6,Kharif,5
Low,7.9,0.46,0.52,168.09,14.42,835.03,Black Gram,520,75,22.1,39.9,21.6,Kharif,5
Low,7.4,0.48,0.4,168.09,12.93,485.18,Black Gram,520,75,22.1,39.9,21.6,Kharif,9
Low,7.9,0.72,0.39,155.55,25.86,539.35,Black Gram,520,75,22.1,39.9,21.6,Kharif,7
Low,7.6,0.43,0.87,143,10.44,715.01,Black Gram,520,75,22.1,39.9,21.6,Kharif,7
Low,7.4,0.62,0.32,143,11.93,366.37,Black Gram,520,75,22.1,39.9,21.6,Kharif,5
Low,7.5,0.43,0.34,143,18.9,471.74,Black Gram,520,75,22.1,39.9,21.6,Kharif,3
Low,7.4,0.92,0.7,155.55,33.32,795.78,Black Gram,520,75,22.1,39.9,21.6,Kharif,3
Low,7.3,0.59,0.25,168.09,28.34,356.03,Black Gram,520,75,22.1,39.9,21.6,Kharif,7
Low,7.5,0.38,0.47,80.28,21.88,634.37,Black Gram,520,75,22.1,39.9,21.6,Kharif,4
Low,7.7,0.63,0.52,180.63,24.37,393.12,Black Gram,724.9,84,21.1,37.4,29.9,Kharif,5
Low,7.6,0.47,0.32,105.37,17.4,391.1,Black Gram,724.9,84,21.1,37.4,29.9,Kharif,5
Low,7.6,0.44,0.46,180.63,13.43,485.18,Black Gram,724.9,84,21.1,37.4,29.9,Kharif,8
Low,7.8,0.46,0.52,105.37,26.36,351.59,Black Gram,724.9,84,21.1,37.4,29.9,Kharif,6
Low,7.9,0.52,0.83,205.72,18.9,553.73,Black Gram,724.9,84,21.1,37.4,29.9,Kharif,5
Low,7.4,0.48,0.4,168.09,13.43,393.39,Black Gram,724.9,84,21.1,37.4,29.9,Kharif,6
Low,7.5,0.72,0.64,155.55,25.36,393.39,Black Gram,724.9,84,21.1,37.4,29.9,Kharif,6
Low,7.6,0.43,0.87,268.44,25.86,485.18,Black Gram,724.9,84,21.1,37.4,29.9,Kharif,7
Low,7.4,0.62,0.36,143,25.36,527.92,Black Gram,724.9,84,21.1,37.4,29.9,Kharif,5
Low,7.5,0.42,0.25,143,28.84,661.25,Black Gram,724.9,84,21.1,37.4,29.9,Kharif,6
Low,7.5,0.06,0.7,155.55,26.85,459.65,Black Gram,724.9,84,21.1,37.4,29.9,Kharif,4
